trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9910403787728836}",20,0,-100.76018690146482,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9821610323583008}",25,0,-185.1609203151445,"{0: 11, 1: 0, 2: 10, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9733612415243368}",25,0,-100.15885788771737,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.9646402934831231}",20,0,-269.298324932603,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 6}",0
5,False,"{'a': 0.5, 'e': 0.9559974818331}",25,0,-225.95708103946959,"{0: 15, 1: 0, 2: 4, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.9474321065017983}",25,0,-80.66205778140437,"{0: 18, 1: 0, 2: 4, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9389434736891332}",25,0,-89.67630657243721,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9305308958112057}",30,0,-286.1504451154944,"{0: 12, 1: 1, 2: 11, 3: 3, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.922193691444608}",25,0,-202.27441523696987,"{0: 13, 1: 1, 2: 5, 3: 4, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,1,-85.46487984902829,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.9057427080235485}",25,0,-199.36609100565795,"{0: 10, 1: 0, 2: 11, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8976275964304349}",30,0,-217.7110264060298,"{0: 14, 1: 0, 2: 12, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8895851931634113}",20,0,-141.75371187037487,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8816148467834161}",25,0,-94.70874495944244,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8737159116880344}",25,0,-163.6441003345537,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.865887748059205}",30,0,-201.20163644501363,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8581297218113938}",30,0,-228.0206102991493,"{0: 18, 1: 1, 2: 5, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.850441204540233}",20,0,-73.01677978766394,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8428215734716199}",20,13,-29.68205899618872,"{0: 4, 1: 1, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-81.77635720651678,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8277865066947336}",20,0,-99.84130605905582,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8203698531378311}",20,0,-19.310388233383698,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.813019649987571}",20,0,-52.417520500459084,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8057353018734796}",20,0,-114.93282972182216,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7985162187593771}",20,0,-132.9981802050828,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7913618158955839}",20,0,-61.73609864979333,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7842715137715565}",20,0,-104.01973020161391,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.7772447380689461}",30,2,-123.7204161546026,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 2}",1
29,False,"{'a': 0.5, 'e': 0.7702809196150792}",25,0,-62.154362142832866,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7633794943368533}",30,0,-215.94736740861222,"{0: 18, 1: 4, 2: 3, 3: 1, 4: 4}",0
31,False,"{'a': 0.5, 'e': 0.7565399032150474}",20,0,-31.1657262503914,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.7497615922390413}",25,0,-72.66884227873582,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.7430440123619398}",25,0,-192.96852477404332,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.7363866194561001}",25,0,-134.40227829050178,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.7297888742690568}",20,0,-88.28556034486888,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.7232502423798425}",25,7,-47.820480651451,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.716770194155699}",25,0,-84.887611915881,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.7103482047091773}",30,0,-167.22986744336058,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.703983753855621}",35,0,-90.43880006034954,"{0: 24, 1: 6, 2: 3, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.697676326071031}",25,0,-184.57129998162847,"{0: 9, 1: 5, 2: 7, 3: 3, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6914254104503085}",25,0,-81.83661680038458,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.6852305006658703}",20,0,-192.14216155805917,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
43,False,"{'a': 0.5, 'e': 0.6790910949266369}",30,0,-177.7236258121608,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.6730066959373865}",25,0,-136.3788333045406,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.6669768108584744}",30,0,-75.12117431930719,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.6610009512659125}",20,14,4.28564899059165,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6550786331118063}",30,0,-75.22991920961789,"{0: 18, 1: 6, 2: 5, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.6492093766851474}",25,0,-77.29605783347854,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.6433927065729562}",20,0,-93.21252638506972,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.6376281516217733}",30,0,-173.82583750768424,"{0: 19, 1: 5, 2: 1, 3: 2, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.6319152448994959}",20,0,-146.16441238395547,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.6262535236575559}",20,0,-112.31339717522658,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.6206425292934373}",25,0,-152.66661118568248,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.6150818073135287}",25,0,-116.60943863415211,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.6095709072963094}",20,0,-142.06141221771588,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.6041093828558647}",20,0,-109.90523717710752,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.5986967916057292}",30,0,-294.698902814967,"{0: 16, 1: 5, 2: 1, 3: 2, 4: 6}",0
58,False,"{'a': 0.5, 'e': 0.5933326951230521}",20,0,-128.65600660456886,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.5880166589130854}",30,0,-142.01951181981792,"{0: 21, 1: 2, 2: 2, 3: 3, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.5827482523739898}",20,1,-45.10259035598719,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5775270487619547}",30,10,-105.55981026650936,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.5723526251566333}",20,0,-67.35818695031405,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.5672245624268841}",30,0,-103.73111654325713,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.5621424451968224}",30,10,-36.65910603614862,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5571058618121739}",20,0,-77.8833753176367,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.5521144043069306}",30,0,-54.49095686287445,"{0: 17, 1: 10, 2: 3, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5471676683703055}",25,0,-46.2498975336962,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.5422652533139832}",25,0,-174.12364948722828,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
69,False,"{'a': 0.5, 'e': 0.5374067620396636}",20,0,-94.77786598000586,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.5325918010068972}",30,0,-76.81091292644712,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.5278199802012077}",20,0,-147.06041285691347,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
72,False,"{'a': 0.5, 'e': 0.5230909131025009}",20,0,-40.93971685020452,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.518404216653756}",20,0,-14.237694220010752,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.5137595112299984}",20,0,-36.98086233600768,"{0: 12, 1: 7, 2: 1, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.5091564206075492}",25,0,-17.77845512697436,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.5045945719335512}",20,0,-71.64932261895831,"{0: 12, 1: 6, 2: 0, 3: 1, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.5000735956957677}",20,0,-76.94847314258459,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.49559312569265146}",25,0,-85.69038078838356,"{0: 14, 1: 8, 2: 2, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.49115279900368264}",30,8,-72.82991823197656,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.4867522559599717}",25,0,-42.65266171547652,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.4823911401151259}",30,0,-95.92998082148357,"{0: 14, 1: 10, 2: 5, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.4780690982163776}",20,0,-86.74076237468533,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.4737857801759698}",20,0,-24.13268440620952,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.4695408390427993}",25,0,-100.28985720412182,"{0: 16, 1: 6, 2: 1, 3: 0, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.4653339309743134}",25,0,-121.85104633442813,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.4611647152086585}",20,0,-59.44976346198717,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.45703285403707794}",30,0,-110.96847406064032,"{0: 15, 1: 8, 2: 5, 3: 2, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.45293801277655776}",35,0,-148.6245248880956,"{0: 20, 1: 8, 2: 5, 3: 0, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.448879859742717}",20,7,-2.739162989749966,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.44485806622294116}",20,0,-95.6432737634423,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.44087230644975617}",25,0,-26.95672051497955,"{0: 18, 1: 5, 2: 1, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.4369222575744412}",25,0,-91.13035196427232,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.43300759964087765}",30,0,-207.76680827203353,"{0: 14, 1: 7, 2: 5, 3: 1, 4: 3}",0
94,False,"{'a': 0.5, 'e': 0.42912801555963254}",20,0,-24.411633253989425,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.42528319108227414}",30,0,-103.24086608123848,"{0: 16, 1: 5, 2: 8, 3: 1, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.42147281477591764}",20,0,-64.4815607025164,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.41769657799799886}",25,0,-63.97571784993415,"{0: 14, 1: 8, 2: 2, 3: 1, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.4139541748712741}",20,7,-30.718720400603118,"{0: 7, 1: 4, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.41024530225904404}",20,10,-10.473294307729333,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.40656965974059917}",20,0,-47.59705177049,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.4029269495868858}",20,0,-41.114035184363495,"{0: 11, 1: 7, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.3993168767363899}",25,0,-110.72048434403871,"{0: 13, 1: 8, 2: 1, 3: 2, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.3957391487712367}",20,0,-13.84803911350514,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.392193475893505}",25,0,-100.32447229670976,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.38867957090175304}",25,0,-125.1374359398266,"{0: 11, 1: 7, 2: 6, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.3851971491677552}",25,1,-126.27694525456386,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.3817459286134471}",20,0,-74.63331956460928,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.3783256296880768}",25,0,-10.381781360585098,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.3749359753455614}",30,0,-46.48399898312918,"{0: 19, 1: 10, 2: 0, 3: 1, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,0,-22.352913679452296,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.36824750461366296}",20,0,-54.32478145260833,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.36494814645449375}",20,0,-77.96869822610753,"{0: 11, 1: 7, 2: 1, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.3616783492947233}",30,0,-199.41155220153036,"{0: 16, 1: 6, 2: 3, 3: 2, 4: 3}",0
114,False,"{'a': 0.5, 'e': 0.3584378482789939}",30,0,-126.49637356986456,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.3552263809249515}",20,0,-27.236397713145493,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.35204368710198464}",20,0,-83.78910799515657,"{0: 8, 1: 5, 2: 7, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.34888950901015336}",20,0,-47.540221512251506,"{0: 11, 1: 7, 2: 1, 3: 1, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.3457635911593078}",25,0,-76.70286303359605,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.3426656803483929}",25,0,-97.31751361060502,"{0: 13, 1: 9, 2: 1, 3: 1, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.3395955256449392}",25,0,-104.74992060589764,"{0: 14, 1: 8, 2: 1, 3: 0, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.336552878364737}",25,0,-56.962768656875234,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.33353749205169325}",25,0,-67.70196501598566,"{0: 16, 1: 7, 2: 1, 3: 0, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.3305491224578677}",25,0,-50.17455040515219,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.3275875275236896}",20,0,-80.51438698122035,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.32465246735834974}",25,0,1.2848533448419839,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.3217437042203702}",35,0,-38.7806925670832,"{0: 24, 1: 7, 2: 4, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.3188610024983463}",20,0,-11.837773716408279,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.31600412869186256}",30,0,-85.04657580992223,"{0: 17, 1: 9, 2: 2, 3: 2, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.31317285139257856}",20,0,-101.91800735404843,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.31036694126548503}",25,0,-25.458827147890567,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.30758617103032765}",20,0,-18.985750167971126,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.30483031544319683}",25,0,-54.09901509685838,"{0: 14, 1: 8, 2: 3, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.30209915127828346}",25,0,-109.8212762820501,"{0: 11, 1: 10, 2: 2, 3: 1, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.2993924573097967}",30,7,-14.469330875716416,"{0: 16, 1: 7, 2: 0, 3: 0, 4: 0}",1
