trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.03, 'e': 0.9910403787728836}",20,0,-67.3276387423822,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.03, 'e': 0.9821610323583008}",20,0,-140.25513214004673,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.03, 'e': 0.9733612415243368}",25,0,-295.23564832195854,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 6}",0
4,False,"{'a': 0.03, 'e': 0.9646402934831231}",25,0,-126.1405315816589,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.03, 'e': 0.9559974818331}",20,0,-111.83562764556585,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.03, 'e': 0.9474321065017983}",25,0,-147.42850302074083,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.03, 'e': 0.9389434736891332}",25,13,-0.9673304272176779,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.03, 'e': 0.9305308958112057}",25,2,-114.14871321577165,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 2}",1
9,False,"{'a': 0.03, 'e': 0.922193691444608}",25,0,-98.14367605638745,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.03, 'e': 0.9139311852712282}",25,0,-116.99454243651745,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 0}",0
11,False,"{'a': 0.03, 'e': 0.9057427080235485}",25,6,-101.44572250336854,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
12,False,"{'a': 0.03, 'e': 0.8976275964304349}",20,4,-42.731259809846854,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.03, 'e': 0.8895851931634113}",30,0,-89.30248248734283,"{0: 21, 1: 0, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.03, 'e': 0.8816148467834161}",25,0,-195.51164372989336,"{0: 12, 1: 5, 2: 2, 3: 4, 4: 2}",0
15,False,"{'a': 0.03, 'e': 0.8737159116880344}",25,3,-93.88259710305776,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 1}",1
16,False,"{'a': 0.03, 'e': 0.865887748059205}",25,0,-102.32319661823003,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.03, 'e': 0.8581297218113938}",25,0,-98.71851888172158,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.03, 'e': 0.850441204540233}",25,0,-93.91956397941618,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.03, 'e': 0.8428215734716199}",20,0,-80.59480919619585,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
20,False,"{'a': 0.03, 'e': 0.835270211411272}",20,0,-86.64893792967254,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.03, 'e': 0.8277865066947336}",25,3,-122.11440061549033,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 2}",1
22,False,"{'a': 0.03, 'e': 0.8203698531378311}",30,0,-200.66144550528654,"{0: 17, 1: 2, 2: 5, 3: 4, 4: 2}",0
23,False,"{'a': 0.03, 'e': 0.813019649987571}",25,0,-42.289258395284016,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.03, 'e': 0.8057353018734796}",25,9,-50.81820282499038,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
25,False,"{'a': 0.03, 'e': 0.7985162187593771}",20,0,-96.21376299037888,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.03, 'e': 0.7913618158955839}",20,9,-27.05497818194033,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 0}",1
27,False,"{'a': 0.03, 'e': 0.7842715137715565}",25,0,-46.67534569284381,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.03, 'e': 0.7772447380689461}",20,0,-7.790943744963095,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.03, 'e': 0.7702809196150792}",20,0,-74.9268251898276,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
30,False,"{'a': 0.03, 'e': 0.7633794943368533}",30,0,11.734925477359761,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.03, 'e': 0.7565399032150474}",30,0,-66.90530248573407,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
32,False,"{'a': 0.03, 'e': 0.7497615922390413}",20,0,-133.13937591650668,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
33,False,"{'a': 0.03, 'e': 0.7430440123619398}",20,5,-9.465202836769759,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.03, 'e': 0.7363866194561001}",30,20,-8.657280317820874,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.03, 'e': 0.7297888742690568}",25,1,-15.551655836778973,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 0}",1
36,False,"{'a': 0.03, 'e': 0.7232502423798425}",25,0,-127.00858304881423,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
37,False,"{'a': 0.03, 'e': 0.716770194155699}",20,0,-112.46328619444449,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
38,False,"{'a': 0.03, 'e': 0.7103482047091773}",25,0,-154.2020094158006,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
39,False,"{'a': 0.03, 'e': 0.703983753855621}",20,0,-58.310338217603366,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.03, 'e': 0.697676326071031}",25,0,-46.59031621813964,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
41,False,"{'a': 0.03, 'e': 0.6914254104503085}",20,14,-13.514840410757174,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.03, 'e': 0.6852305006658703}",25,0,-100.17480499862923,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
43,False,"{'a': 0.03, 'e': 0.6790910949266369}",20,13,2.7228809031016485,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.03, 'e': 0.6730066959373865}",25,1,-61.7326487014721,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 2}",1
45,False,"{'a': 0.03, 'e': 0.6669768108584744}",20,13,-24.785578596004406,"{0: 4, 1: 2, 2: 0, 3: 1, 4: 0}",1
46,False,"{'a': 0.03, 'e': 0.6610009512659125}",20,0,-33.31322374187978,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.03, 'e': 0.6550786331118063}",25,0,-8.900596885073721,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.03, 'e': 0.6492093766851474}",20,0,-70.10754272068843,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.03, 'e': 0.6433927065729562}",20,14,-2.295290395007794,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.03, 'e': 0.6376281516217733}",20,0,-112.62164258270965,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
51,False,"{'a': 0.03, 'e': 0.6319152448994959}",30,11,-70.55420935784774,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 2}",1
52,False,"{'a': 0.03, 'e': 0.6262535236575559}",20,0,-74.53145257998328,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
53,False,"{'a': 0.03, 'e': 0.6206425292934373}",25,7,-8.566537501634114,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.03, 'e': 0.6150818073135287}",20,12,-40.74112351649492,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.03, 'e': 0.6095709072963094}",20,0,-11.925745706192322,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
