trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9910403787728836}",30,0,-174.13046562626354,"{0: 14, 1: 5, 2: 8, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9821610323583008}",25,0,-187.81362269640175,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9733612415243368}",25,0,-144.69561713759543,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9646402934831231}",30,0,-144.32010736975792,"{0: 17, 1: 6, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9559974818331}",25,0,-147.84641663735948,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9474321065017983}",30,10,-113.37154321124848,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.9389434736891332}",20,0,-146.48161047972553,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9305308958112057}",20,0,-45.38164343610127,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.922193691444608}",20,0,-58.83385853012943,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-36.87025239698936,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9057427080235485}",20,0,-99.3207504777722,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8976275964304349}",25,2,-81.40465432412739,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.8895851931634113}",25,0,-200.7035422260178,"{0: 11, 1: 0, 2: 11, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8816148467834161}",20,0,-120.78804088432084,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8737159116880344}",25,0,-138.81036194033027,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.865887748059205}",35,14,-92.08760859178945,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.8581297218113938}",20,0,-73.43985203671555,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.850441204540233}",35,20,-52.599120635749124,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.8428215734716199}",30,0,-175.6051688556201,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.835270211411272}",20,1,-23.13747564719378,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-128.60884752925523,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",25,0,-152.32562314429168,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-29.11484648573466,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,-155.27560354459376,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-87.68154387919547,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-99.5205571457085,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-45.638028857405324,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,11,-51.32815726124382,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,0,-83.82563200896435,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-105.64198814367049,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
